Perturbation,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,BertzCT,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,PNSA1,PPSA1,DPSA1,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,RNCS,RPCS,TASA,TPSA,RASA,RPSA,HybRatio,FCSP3,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,ETA_beta_ns_d,AETA_beta_ns_d,ETA_eta,AETA_eta,ETA_eta_L,AETA_eta_L,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,nRot,RotRatio,SLogP,SMR,TopoPSA,GGI1,GGI2,Vabc,MW,AMW,WPath,WPol,Zagreb1
17>18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,41.588541685560244,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-10.562069653774927,93.74224867716907,104.304318330944,-0.04179837080105642,0.04179837080105686,24.96492501673481,152.51639444408056,-0.006029370930561967,-0.0036104178456445313,14.043622712180792,3.7166662702867654,54.256571105756166,28.923607917638023,-0.01775440817875551,0.017754408178755926,0.05263157894736842,0.0357142857142857,-0.059615384615384626,0.75,0.00423076923076926,-1.0,-0.06384615384615389,0.0,0.0,2.0926911097432424,0.04918034239406677,0.40731226671959053,0.006574128619377256,7.0,-0.029013539651837505,0.0,0.0,3.0035859999999985,2.5764139999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,-0.1052800000000007,5.631999999999991,-10.899999999999991,0.0,-4.440892098500626e-16,17.295985223857315,14.015650064000056,-0.18219410547788684,193.0,1.0,4.0
18>17,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-41.588541685560244,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,10.562069653774927,-93.74224867716907,-104.304318330944,0.04179837080105642,-0.04179837080105686,-24.96492501673481,-152.51639444408056,0.006029370930561967,0.0036104178456445313,-14.043622712180792,-3.7166662702867654,-54.256571105756166,-28.923607917638023,0.01775440817875551,-0.017754408178755926,-0.05263157894736842,-0.0357142857142857,0.059615384615384626,-0.75,-0.00423076923076926,1.0,0.06384615384615389,0.0,0.0,-2.0926911097432424,-0.04918034239406677,-0.40731226671959053,-0.006574128619377256,-7.0,0.029013539651837505,0.0,0.0,-3.0035859999999985,-2.5764139999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,0.1052800000000007,-5.631999999999991,10.899999999999991,0.0,4.440892098500626e-16,-17.295985223857315,-14.015650064000056,0.18219410547788684,-193.0,-1.0,-4.0
13>17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1182986678823,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.07383058770006,-39.389721335706554,-106.46355192340661,0.05530334464606157,-0.05530334464606157,79.11645985343472,-23.11613106793436,0.007990121886297219,0.004806648640322847,-11.172241953645596,-4.986671312439455,52.945226576005666,-25.261117324012147,0.028406594983080402,-0.028406594983080458,-0.017543859649122806,-0.01315789473684209,-0.020000000000000018,-0.5,-0.020000000000000018,0.0,0.0,0.0,0.0,0.29389659078008634,0.0117558636312034,0.08024288894035791,0.0032097155576143177,-0.009999999999990905,-0.010570824524312905,-1.0,0.0,1.2367929999999987,-0.13679300000000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999991,2.2050000000000125,-12.889999999999986,0.0,0.0,6.299224626137459,-0.9952489679999985,-0.19817457306558683,0.0,0.0,0.0
17>13,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1182986678823,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-67.07383058770006,39.389721335706554,106.46355192340661,-0.05530334464606157,0.05530334464606157,-79.11645985343472,23.11613106793436,-0.007990121886297219,-0.004806648640322847,11.172241953645596,4.986671312439455,-52.945226576005666,25.261117324012147,-0.028406594983080402,0.028406594983080458,0.017543859649122806,0.01315789473684209,0.020000000000000018,0.5,0.020000000000000018,0.0,0.0,0.0,0.0,-0.29389659078008634,-0.0117558636312034,-0.08024288894035791,-0.0032097155576143177,0.009999999999990905,0.010570824524312905,1.0,0.0,-1.2367929999999987,0.13679300000000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999991,-2.2050000000000125,12.889999999999986,0.0,0.0,-6.299224626137459,0.9952489679999985,0.19817457306558683,0.0,0.0,0.0
13>18,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,-1.0,39.470243017677944,4.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,56.51176093392513,54.35252734146252,-2.1592335924626127,0.013504973845005153,-0.013504973845004709,104.08138487016953,129.4002633761462,0.001960750955735252,0.0011962307946783157,2.871380758535196,-1.2700050421526896,107.20179768176183,3.6624905936258756,0.010652186804324892,-0.010652186804324532,0.03508771929824561,0.022556390977443608,-0.07961538461538464,0.25,-0.015769230769230758,-1.0,-0.06384615384615389,0.0,0.0,2.3865877005233287,0.06093620602527017,0.48755515565994845,0.009783844176991574,6.990000000000009,-0.03958436417615041,-1.0,0.0,4.240378999999997,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,0.4997199999999984,7.837000000000003,-23.789999999999978,0.0,-4.440892098500626e-16,23.595209849994774,13.020401096000057,-0.38036867854347367,193.0,1.0,4.0
18>13,0.0,0.0,0.0,0.0,-4.0,-1.0,0.0,0.0,1.0,-39.470243017677944,-4.0,-1.0,-4.0,0.0,0.0,0.0,0.0,-4.0,0.0,-56.51176093392513,-54.35252734146252,2.1592335924626127,-0.013504973845005153,0.013504973845004709,-104.08138487016953,-129.4002633761462,-0.001960750955735252,-0.0011962307946783157,-2.871380758535196,1.2700050421526896,-107.20179768176183,-3.6624905936258756,-0.010652186804324892,0.010652186804324532,-0.03508771929824561,-0.022556390977443608,0.07961538461538464,-0.25,0.015769230769230758,1.0,0.06384615384615389,0.0,0.0,-2.3865877005233287,-0.06093620602527017,-0.48755515565994845,-0.009783844176991574,-6.990000000000009,0.03958436417615041,1.0,0.0,-4.240378999999997,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003694581280788173,-0.4997199999999984,-7.837000000000003,23.789999999999978,0.0,4.440892098500626e-16,-23.595209849994774,-13.020401096000057,0.38036867854347367,-193.0,-1.0,-4.0
13>15,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,-141.681722786009,-1.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-19.270323093282855,2.258333141570006,21.52865623485286,-0.013151333800483,0.013151333800483056,-25.254912049662096,-8.397132424487609,0.013069787125076643,0.0077710742692110035,-17.015647415109868,-7.913889704817848,-16.648216383782255,-0.36377356793070703,-0.00204989126507249,0.0020498912650723233,0.0,0.0146198830409357,-0.07000000000000006,-1.25,0.003043478260869481,-3.0,-0.07304347826086954,0.0,0.0,-1.3715959289205202,0.010125946035308253,-0.21742154425523186,0.010822994341787129,-14.009999999999991,0.011074197120708729,-1.0,0.0,-2.1032070000000047,0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758254,0.12831999999999977,-4.714999999999989,-23.789999999999992,-1.0,-0.22222222222222232,-23.01982792609357,-24.995248968,-0.4112099219312899,-312.0,-4.0,-10.0
15>13,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,141.681722786009,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.270323093282855,-2.258333141570006,-21.52865623485286,0.013151333800483,-0.013151333800483056,25.254912049662096,8.397132424487609,-0.013069787125076643,-0.0077710742692110035,17.015647415109868,7.913889704817848,16.648216383782255,0.36377356793070703,0.00204989126507249,-0.0020498912650723233,0.0,-0.0146198830409357,0.07000000000000006,1.25,-0.003043478260869481,3.0,0.07304347826086954,0.0,0.0,1.3715959289205202,-0.010125946035308253,0.21742154425523186,-0.010822994341787129,14.009999999999991,-0.011074197120708729,1.0,0.0,2.1032070000000047,-0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,-0.008241758241758254,-0.12831999999999977,4.714999999999989,23.789999999999992,1.0,0.22222222222222232,23.01982792609357,24.995248968,0.4112099219312899,312.0,4.0,10.0
13>19,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,-83.91961833737992,2.0,-1.0,3.0,0.0,-1.0,0.0,-1.0,3.0,0.0,11.434069088088052,48.588417703087316,37.154348614999265,-0.010454981299460042,0.010454981299460209,34.52930714144827,88.82718758481872,0.010500493593516153,0.0062803305006262355,-10.607969458515726,-6.455436999932289,56.31253209145211,3.7099546997233688,0.004411384089905046,-0.004411384089904796,0.03508771929824561,0.05263157894736842,-0.10125000000000006,-0.75,-0.003750000000000031,-3.0,-0.09750000000000003,0.0,0.0,0.8155998893545195,0.06741025971753434,0.13630132157655428,0.015394855359780107,-7.009999999999991,-0.020671834625323016,-1.0,0.0,0.9003789999999938,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.43673999999999835,0.02199999999999136,-23.789999999999978,0.0,0.0,-5.723842702236254,-10.979598903999943,-0.5872991866171464,-168.0,-2.0,-4.0
19>13,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,83.91961833737992,-2.0,1.0,-3.0,0.0,1.0,0.0,1.0,-3.0,0.0,-11.434069088088052,-48.588417703087316,-37.154348614999265,0.010454981299460042,-0.010454981299460209,-34.52930714144827,-88.82718758481872,-0.010500493593516153,-0.0062803305006262355,10.607969458515726,6.455436999932289,-56.31253209145211,-3.7099546997233688,-0.004411384089905046,0.004411384089904796,-0.03508771929824561,-0.05263157894736842,0.10125000000000006,0.75,0.003750000000000031,3.0,0.09750000000000003,0.0,0.0,-0.8155998893545195,-0.06741025971753434,-0.13630132157655428,-0.015394855359780107,7.009999999999991,0.020671834625323016,1.0,0.0,-0.9003789999999938,-2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003968253968253968,-0.43673999999999835,-0.02199999999999136,23.789999999999978,0.0,0.0,5.723842702236254,10.979598903999943,0.5872991866171464,168.0,2.0,4.0
